"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","V34"
174,"yung****","46","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드","씬 시티","호스티지","프레셔스 카고 : 프로 범죄단","이지 머니","맨 온 파이어","마이애미 바이스","첩혈쌍웅","강철중: 공공의 적 1-1","필라델피아","부러진 화살","다가오는 것들",NA
177,"book****","43","마유미","조디악","타운","임페리엄","프리즈너스","패닉 룸","칼리토","아버지를 위한 노래","킬러들의 도시","파고","대부","침묵의 목격자","뮌헨","사이드 이펙트","아메리칸 지골로","데이비드 게일","애니멀 킹덤","인사이드 링: 항공기를 훔쳐라","아메리칸 갱스터","악마가 너의 죽음을 알기 전에","블루 썬더","나이트 크롤러","심플 플랜","모범시민","머니 몬스터","스트리트 킹","카운슬러","시티 오브 갓","양치기들","캐치 미 이프 유 캔",NA
178,"dlxo****","48","폼페이: 최후의 날","아포칼립토","감기","올 이즈 로스트","정복자 1453","신해혁명","가디언","하트 오브 더 씨","천하칠검 양가장","드래곤 블레이드","LA 대지진","7인의 사무라이","라파예트","마스터 앤드 커맨더: 위대한 정복자","타이탄","헌츠맨: 윈터스 워","라스트 사무라이","적벽대전 1부 - 거대한 전쟁의 시작","토르: 천둥의 신","섀도우 헌터스 : 뼈의 도시","트로이","300","킹 아더","로스트 인 스페이스","헬보이 2: 골든 아미","쏜다","생텀","포세이돈","코어","엑스맨: 퍼스트 클래스",NA
188,"cara****","65","괴물","아마겟돈","몬테 크리스토 백작","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","헬보이 2: 골든 아미","왓치맨","황금나침반","하이-라이즈","디스트릭트 9","브이 포 벤데타","크로니클","푸시","초능력자","생텀","미션 투 마스","혹성탈출: 반격의 서막","트랜센던스","포세이돈","강철중: 공공의 적 1-1","미스터 & 미세스 스미스","이탈리안 잡","식스틴 블럭","폭풍 속으로","콘스탄틴","에이리언 3","디시에르토",NA
190,"euns****","80","괴물","몬테 크리스토 백작","생텀","포세이돈","강철중: 공공의 적 1-1","아마겟돈","이탈리안 잡","식스틴 블럭","폭풍 속으로","박치기!","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들",NA
197,"hung****","48","필라델피아","부러진 화살","다가오는 것들","노이 알비노이","릴리 슈슈의 모든 것","해안선","에곤 쉴레: 욕망이 그린 그림","내 인생의 마지막 변화구","푸른소금","플레이","나의 독재자","산다","디어리스트","뷰티풀 라이","아리아","오직 그대만","피아니스트","별이 빛나는 밤","천국의 책방 - 연화","타인의 멜로디","밤과 낮","설행_눈길을 걷다","도쿄!","오아시스","열한번째 엄마","다른나라에서","셀마","삼나무에 내리는 눈","허브","하류인생",NA
200,"poin****","37","강철중: 공공의 적 1-1","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들","타워링","나이트 플라이트","볼케이노","크림슨 타이드","메카닉","스니치","엣지 오브 다크니스","밴티지 포인트","스푹스:MI5","신의 전사","배틀로얄","킬 빌 - 2부","로드 오브 워","트레이닝 데이",NA
203,"arro****","37","강철중: 공공의 적 1-1","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","투건스","노킹 온 헤븐스 도어","자토이치","불이신탐","거북이 달린다","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들","타워링",NA
207,"ehdr****","35","괴물","강철중: 공공의 적 1-1","미이라","펄프 픽션","작전","타짜","헬보이 2: 골든 아미","살인의 추억","와일드 테일즈: 참을 수 없는 순간","테일러 오브 파나마","나 홀로 집에 2 - 뉴욕을 헤매다","셜록 홈즈","몬테 크리스토 백작","사대명포","3000 마일","마세티 킬즈","거침없이 쏴라! 슛 뎀 업","미드나잇 런","베이트","러시 아워 3","리썰 웨폰 3","에이리언 3","코어","엑스맨: 퍼스트 클래스","미스터 & 미세스 스미스","디시에르토","크레이지","힛쳐","이탈리안 잡","심연",NA
214,"ghos****","71","이탈리안 잡","식스틴 블럭","폭풍 속으로","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드","씬 시티","호스티지","프레셔스 카고 : 프로 범죄단","이지 머니","맨 온 파이어","마이애미 바이스","첩혈쌍웅","몬테 크리스토 백작",NA
