그림자들의 섬,['다큐멘터리'],한국,98분 ,2016.08.25,15세 관람가,김정근,"['김진숙', '박성호', '박희찬']",9.38,7.14,9.23
도로로,"['액션', '모험', '판타지']",일본,137분 ,2007.10.25,15세 관람가,시오타 아키히코,"['츠마부키 사토시', '시바사키 코우']",,6.35,
이퀄스,"['드라마', 'SF']",미국,101분 ,2016.08.31,15세 관람가,드레이크 도리머스,"['크리스틴 스튜어트', '니콜라스 홀트']",8.13,6.79,8.31
밤과 낮,['드라마'],한국,144분 ,2009.01.29,청소년 관람불가,홍상수,"['김영호', '박은혜', '황수정']",,8.33,7.79
최강전사 미니특공대 : 새로운 악당의 습격,['애니메이션'],한국,60분 ,2015.02.05,전체 관람가,이영준,"['엄상현', '전태열', '신용우']",7.58,7.56,
설행_눈길을 걷다,['드라마'],한국,98분 ,2016.03.03,15세 관람가,김희정,"['김태훈', '박소담']",8.46,6.67,8.24
나우 유 씨 미 : 마술사기단,"['범죄', '스릴러', '미스터리']",미국,115분 ,2013.08.22,12세 관람가,루이스 리터리어,"['제시 아이젠버그', '마크 러팔로', '우디 해럴슨']",,6.90,8.04
스프링 브레이커스,"['코미디', '드라마', '범죄']",미국,94분 ,2013.07.25,청소년 관람불가,하모니 코린,"['제임스 프랭코', '셀레나 고메즈', '바네사 허진스']",,5.50,6.08
라디오 스타,"['코미디', '드라마']",한국,115분 ,2006.09.28,12세 관람가,이준익,"['박중훈', '안성기']",,7.40,9.19
다크맨,"['액션', '공포', '미스터리', 'SF', '스릴러']",미국,95분 ,1990.12.22,청소년 관람불가,샘 레이미,"['리암 니슨', '프란시스 맥도맨드']",,7.88,
도쿄!,['드라마'],한국,111분 ,2008.10.23,15세 관람가,봉준호,"['아오이 유우', '카가와 테루유키', '타케나카 나오토']",,6.67,7.73
건축학개론,['멜로/로맨스'],한국,118분 ,2012.03.22,12세 관람가,이용주,"['엄태웅', '한가인', '이제훈']",10.0,7.19,8.65
아일랜드,"['SF', '모험', '액션']",미국,136분 ,2005.07.21,12세 관람가,마이클 베이,"['이완 맥그리거', '스칼렛 요한슨']",,8.78,
태백산맥,"['전쟁', '드라마']",한국,168분 ,1994.09.17,청소년 관람불가,임권택,"['안성기', '김명곤', '김갑수']",,7.18,
임포스터,"['SF', '스릴러']",미국,95분 ,2002.09.20,12세 관람가,게리 플레더,"['게리 시나이즈', '매들린 스토우', '빈센트 도노프리오']",,7.60,
상실의 시대,"['드라마', '멜로/로맨스']",일본,133분 ,2011.04.21,청소년 관람불가,트란 안 훙,"['마츠야마 켄이치', '키쿠치 린코', '미즈하라 키코']",,5.57,5.00
말하는 건축 시티:홀,['다큐멘터리'],한국,106분 ,2013.10.24,전체 관람가,정재은,['유걸'],8.50,7.11,7.37
라푼젤,"['애니메이션', '코미디', '가족', '판타지', '뮤지컬', '멜로/로맨스']",미국,100분 ,2011.02.10,전체 관람가,네이슨 그레노,"['맨디 무어', '제커리 레비']",,7.13,9.33
어크로스 더 유니버스,"['뮤지컬', '드라마', '멜로/로맨스']",미국,132분 ,2008.02.14,15세 관람가,줄리 테이머,"['짐 스터게스', '에반 레이첼 우드']",,5.00,7.84
케이프 피어,['스릴러'],미국,127분 ,1992.03.14,청소년 관람불가,마틴 스콜세지,"['로버트 드 니로', '닉 놀테', '제시카 랭']",,8.00,
세이빙 산타,"['애니메이션', '코미디', '가족', '뮤지컬']",미국,84분 ,2013.12.19,전체 관람가,레온 주센,"['마틴 프리먼', '팀 커리', '팜 페리스']",10.0,7.89,
반딧불이의 묘,"['애니메이션', '전쟁', '드라마', '가족']",일본,89분 ,2014.06.19,12세 관람가,다카하타 이사오,"['타츠미 츠토무', '시라이시 아야노', '시노하라 요시코']",7.75,8.25,6.64
사랑의 블랙홀,"['멜로/로맨스', '코미디', '판타지']",미국,101분 ,1993.12.04,15세 관람가,해롤드 래미스,"['빌 머레이', '앤디 맥도웰']",,9.15,
알투비:리턴투베이스,"['액션', '드라마']",한국,113분 ,2012.08.15,15세 관람가,김동원,"['비', '유준상', '신세경']",,5.04,7.58
스트레인저랜드,"['드라마', '스릴러']",오스트레일리아,112분 ,2015.08.06,청소년 관람불가,킴 파란트,"['니콜 키드먼', '휴고 위빙', '조셉 파인즈']",5.50,5.25,5.71
숲속으로,"['판타지', '뮤지컬']",미국,125분 ,2014.12.24,전체 관람가,롭 마샬,"['메릴 스트립', '조니 뎁', '에밀리 블런트']",5.48,6.35,4.87
파르나서스 박사의 상상극장,['판타지'],프랑스,122분 ,2009.12.23,12세 관람가,테리 길리엄,"['히스 레저', '조니 뎁', '주드 로']",,5.65,5.84
레지던트 이블 4: 끝나지 않은 전쟁 3D,"['액션', '공포', 'SF', '스릴러']",영국,96분 ,2010.09.16,청소년 관람불가,폴 앤더슨,['밀라 요보비치'],,5.75,6.28
바스터즈: 거친 녀석들,"['전쟁', '드라마', '액션']",미국,152분 ,2009.10.28,청소년 관람불가,쿠엔틴 타란티노,"['브래드 피트', '멜라니 로랑', '크리스토프 왈츠']",,8.68,8.25
실버라이닝 플레이북,"['코미디', '드라마', '멜로/로맨스']",미국,122분 ,2013.02.14,청소년 관람불가,데이빗 O. 러셀,"['제니퍼 로렌스', '브래들리 쿠퍼', '로버트 드 니로']",7.00,7.53,8.56
하드 레인,['액션'],미국,95분 ,1998.08.01,12세 관람가,미카엘 살로먼,"['모건 프리먼', '크리스찬 슬레이터', '랜디 퀘이드']",,7.79,
발레리나,"['애니메이션', '모험', '가족', '뮤지컬']",프랑스,89분 ,2017.02.09,전체 관람가,에릭 섬머,"['엘르 패닝', '데인 드한', '매디 지글러']",8.97,8.73,
징기스칸: 제국의 건설,"['액션', '서사']",몽골,91분 ,2013.02.07,15세 관람가,D. 졸바야르,"['T. 알탄사가이', 'B. 아마르카니한', 'C. 아리운바이암바']",,4.12,
천년여우 여우비,"['판타지', '가족', '애니메이션']",한국,85분 ,2007.01.25,전체 관람가,이성강,"['손예진', '공형진', '류덕환']",,6.00,8.59
오아시스,['드라마'],한국,132분 ,2002.08.15,청소년 관람불가,이창동,"['설경구', '문소리']",,9.22,
새 구두를 사야해,['멜로/로맨스'],일본,114분 ,2013.04.25,12세 관람가,기타가와 에리코,"['나카야마 미호', '무카이 오사무', '키리타니 미레이']",,6.00,8.11
스타 트렉: 더 비기닝,"['SF', '모험', '액션']",미국,126분 ,2009.05.07,12세 관람가,J.J. 에이브럼스,"['크리스 파인', '재커리 퀸토']",,8.09,8.71
미스터 소크라테스,"['범죄', '액션', '코미디']",한국,109분 ,2005.11.10,청소년 관람불가,최진원,"['김래원', '강신일', '이종혁']",,5.50,7.74
클로버필드,"['액션', 'SF', '스릴러']",미국,85분 ,2008.01.24,15세 관람가,맷 리브스,"['리지 캐플란', '제시카 루카스', 'T.J. 밀러']",,7.00,7.00
열한번째 엄마,['드라마'],한국,104분 ,2007.11.29,12세 관람가,김진성,"['김혜수', '김영찬']",,4.25,7.88
어린 아내,"['멜로/로맨스', '드라마']",한국,85분 ,2016.11.17,청소년 관람불가,화니,"['한설화', '전해룡']",,5.96,
다른나라에서,['드라마'],한국,89분 ,2012.05.31,청소년 관람불가,홍상수,"['이자벨 위페르', '유준상']",8.00,7.75,6.92
드라이브 앵그리 3D,['액션'],미국,104분 ,2011.08.25,청소년 관람불가,패트릭 루지어,"['니콜라스 케이지', '엠버 허드', '윌리암 피츠너']",,5.50,6.47
브레이킹 던 part1,"['드라마', '판타지', '멜로/로맨스', '스릴러']",미국,117분 ,2011.11.30,15세 관람가,빌 콘돈,"['크리스틴 스튜어트', '로버트 패틴슨']",,4.88,6.99
고스트 메신저 극장판,"['애니메이션', 'SF', '판타지']",한국,78분 ,2014.05.22,12세 관람가,구봉회,"['은정', '박성태', '정재헌']",9.19,9.04,
미녀와 야수,"['애니메이션', '가족', '드라마', '판타지', '멜로/로맨스', '뮤지컬']",미국,85분 ,2012.04.11,전체 관람가,게리 트러스데일,"['페이지 오하라', '로비 벤슨']",,8.50,9.29
이스케이프,"['액션', '스릴러']",미국,103분 ,2015.11.05,15세 관람가,존 에릭 도들,"['오웬 윌슨', '피어스 브로스넌', '레이크 벨']",8.14,5.83,7.59
인셉션,"['액션', '모험', 'SF', '스릴러']",미국,147분 ,2010.07.21,12세 관람가,크리스토퍼 놀란,"['레오나르도 디카프리오', '와타나베 켄', '조셉 고든 레빗']",,7.93,9.21
화산고,"['액션', '코미디', '판타지']",한국,121분 ,2001.12.08,12세 관람가,김태균,"['장혁', '신민아', '허준호']",,6.82,
잡식가족의 딜레마,['다큐멘터리'],한국,106분 ,2015.05.07,전체 관람가,황윤,['황윤'],8.92,6.17,8.87
폼페이: 최후의 날,"['액션', '모험', '드라마', '멜로/로맨스']",미국,104분 ,2014.02.20,15세 관람가,폴 앤더슨,"['키트 해링턴', '에밀리 브라우닝', '키퍼 서덜랜드']",7.33,5.38,7.44
월터의 상상은 현실이 된다,"['모험', '드라마', '판타지']",미국,114분 ,2013.12.31,12세 관람가,벤 스틸러,"['벤 스틸러', '크리스틴 위그', '숀 펜']",8.57,6.97,8.65
