director,aud_mean,cri_mean,net_mean,count
로브 라이너,7.75,8.873,8.87,3
로비 벤슨,9.71,,,1
로빈 버드,,9,,1
로쉬디 젬,9.38,6.5,8.7,1
로아 우다우그,7.71,6.63,6.58,1
로완 조페,8.09,4.95,7.22,1
로웰 딘,,5.44,,1
로저 도널드슨,,7.19,,1
로저 미첼,9.135,6.88,8.145,3
로저 스포티스우드,9.28,7.055,9.14,2
로저 알러스,8.5,7.365,9.035,2
로저 컴블,,7.42,,1
론 쉐르픽,8.075,6.66,7.525,2
론 쉘톤,,7.355,,2
론 언더우드,,8.8,,1
론 클레멘츠,9.22,6.525,8.87,2
론 하워드,8.443,6.998,8.409,10
롤랑 조페,,4.79,6.685,2
롤랜드 에머리히,7.35,6.473,6.945,8
롤프 슈벨,9.28,7.25,9.06,1
롭 라이너,,5,9.08,1
롭 레터맨,8.27,5.737,7.36,3
롭 마샬,7.24,6.354,7.17,5
롭 민코프,8.54,6.46,7.88,2
롭 보우먼,,7.14,,1
롭 엡스타인,,5.83,7.42,1
롭 좀비,,4.88,5.16,1
롭 코헨,,5.592,6.713,5
루 추안,,4,8.52,1
루게로 데오다토,,7.04,,1
루시 워커,9.15,6.86,8.97,1
루이 말,,8,7.45,1
루이 시호요스,,7.58,9.27,1
루이스 길버트,,8.035,,2
루이스 로사,,7.41,,2
루이스 리터리어,,5.508,7.692,5
루이스 만도키,,7.75,9.1,3
루이스 티그,,7.97,,1
루카 구아다니노,7.6,6.92,7.26,1
루카 미니에로,,6,8.72,1
루크 그린필드,,7.705,,2
루퍼스 노리스,,8.35,,1
루퍼트 샌더스,7.42,5.5,7.415,2
루퍼트 와이어트,,8.54,8.76,1
뤽 베송,8.1,6.848,8.34,6
류승완,9.24,7.84,8.078,7
류신의,,7.884,,5
류장하,,8.16,,2
류종헌,8.97,5.33,8.95,1
류훈,8.83,3.5,5.27,1
리 다니엘스,,6.88,8.54,1
리 루이준,9,9.42,,1
리 언크리치,,7.96,9.36,1
리 워넬,7.4,4.63,6.86,1
리 위,,6.25,8.02,1
리 타마호리,,6.62,,2
리 톨랜드 크리거,7.7,6.535,8.04,2
리들리 스콧,8.624,7.685,7.616,15
리사 이모르디노 브릴랜드,8.56,8.33,,1
리사 촐로덴코,,7.69,7.58,1
리자 랑세트,,7,7.69,1
리차드 도너,,6,7.94,1
리차드 마퀀드,,9.01,,1
리차드 아텐보로,,9.01,,1
리차드 커티스,9.22,6.8,9.07,2
리차드 켈리,,7.42,,1
리차드 플레이셔,,8.43,,1
리처드 글랫저,8.44,6.57,8.43,1
리처드 도너,,8.143,,6
리처드 라그라브네스,,5.33,7.91,1
리처드 레스터,8.73,7.42,8.78,1
리처드 론크레인,8.53,5.73,8.24,2
리처드 링클레이터,8.543,8.468,8.617,5
리처드 아요데,8.05,6.3,7.76,1
리처드 윌리엄스,,10,,1
리처드 플레이셔,9.67,8.005,,2
리처드 홀름,,6.14,,1
리치 무어,,6.83,9.29,1
리후이민,,8.73,,1
릭 로먼 워,,4,8.46,1
릭 프리드버그,,7.36,,1
린 램지,,7.91,8.41,1
린 타로,,8.18,,1
린슈유,,5.54,8.7,1
릴리 워쇼스키,9.7,7.794,8.38,5
링고 시에,,6.22,,1
마가레테 폰 트로타,7,8.33,,1
마누엘 시실라,,5,7.87,1
마누엘 카르바요,10,4.5,6.86,1
마대윤,9.28,4.5,8.55,1
마렌 아데,8.25,7.63,8.24,1
마르코스 번스테인,8.54,5.5,8.86,1
마르탕 탈보,8.38,6,9.02,1
마미 스나다,,6.75,8.79,1
마셀 랭겐거,,3.75,6.04,1
마스이 소우이치,,7.18,8.4,2
마시 태지딘,,5.3,8.04,1
마야 포브스,,8.08,,1
마에다 켄지,,7.91,,1
마의성,,7.4,,1
마이크 뉴웰,,6.412,8.305,4
마이크 니콜스,,7.713,5.51,3
마이크 리,7.675,7.68,7.99,2
마이크 맥코이,,8.23,,1
마이크 미첼,8.81,6,8.73,1
마이크 밀스,,7,8.16,1
마이크 바인더,,6.2,7.58,1
마이크 반 디엠,7.53,6,7.97,1
마이크 트메이어,8.06,5.99,8.22,1
마이크 플래너건,7.337,6,7.287,3
마이클 J. 버세트,,4.33,5.16,1
마이클 건톤,,6,6.35,1
마이클 고틀립,,8.33,,1
마이클 데이비스,,8,7.58,1
마이클 도즈,7.67,6.17,7.84,1
마이클 래드포드,9.29,9.18,,1
마이클 만,8.773,8.052,5.98,5
마이클 매너세리,,4.37,,1
마이클 맥고완,8.13,7.25,8.44,1
마이클 무어,9.13,8.32,9.03,3
마이클 바파로,,3.08,,1
마이클 베이,8.453,7.072,7.74,10
마이클 수지,,4,8.21,1
마이클 스피어리그,7.95,6.02,7.655,2
마이클 아리아스,10,8.23,,1
마이클 위너,,8.03,,2
마이클 윈터바텀,8.05,6.4,6.98,1
마이클 카튼-존스,,8.63,,1
마이클 커티즈,9.25,8.76,,1
마이클 크라이튼,,6.13,,1
마이클 크리스토퍼,,7.96,,1
마이클 티데스,,4.16,,1
마이클 패트릭 킹,,4.72,7.79,1
마이클 페트로니,7.9,5,6.81,1
마이클 호프만,7.65,6.153,7.707,3
마지드 마지디,9.7,9.29,,1
마츠나가 다이시,9,4.92,8.74,1
마츠오카 조지,8.33,6.015,8.38,2
마커스 니스펠,,5.98,7.065,3
마커스 던스탠,,6.655,7.38,2
마크 A.Z. 디페,,5,8.68,1
마크 L. 레스터,,8.55,,1
마크 네빌딘,,6.313,5.83,3
마크 누난,8.5,6.5,7.72,1
마크 로렌스,,6.92,6.62,2
마크 로마넥,,6.36,7.49,1
마크 로즈만,,8.7,,1
마크 로코,,9.3,,1
마크 미로드,,4.5,7.16,1
마크 스티븐 존슨,,6.97,,1
마크 앤드류스,,5.86,7.71,1
마크 앳킨스,,4.63,,1
마크 오스본,8.28,7.525,8.825,2
마크 워터스,,6.992,8.535,4
마크 웹,8.57,6.923,7.963,3
마크 파랜스키,,8.18,,1
마크 포스터,,6.37,7.63,2
마크 피투시,8.52,8.6,,1
마크 헬프리치,,7.45,,1
마키하라 료타로,8.13,5.83,7.07,1
마테오 가로네,7.81,6.38,7.83,1
마티유 카소비츠,,4.92,3.59,2
마틴 맥도나,8.15,7.105,7.285,2
마틴 바른비츠,,3.25,,1
마틴 브레스트,,8.825,,4
마틴 스콜세지,8.39,7.246,8.018,7
마틴 잔드블리엣,,6.67,9,1
마틴 캠벨,,5.793,6.8,3
막스 아담스,,6.07,,1
막심 고바레 ,8.49,6.15,8.35,1
만스 말린드,,6.25,7.76,1
매그너스 본 혼,7.92,6.7,7.6,1
매튜 니나버,,5.89,,1
매튜 델라포테,8.67,6.5,7.75,1
매튜 로빈스,,9.19,,1
매튜 버코위츠,,7.71,,1
매튜 본,9.02,7.152,8.79,4
매튜 파크힐,,7.12,,1
매티스 반 헤이닌겐 주니어,,5.5,7.86,1
맥 로프그렌,,6.44,,1
맥스 기와,8.82,5,7.39,1
맥스 니콜스,8.54,6.08,7.86,1
맥스 조셉,8.96,6,8.48,1
맥조휘,,7,8.21,2
맥지,7.6,6.613,7.77,3
맷 로스,8.93,7.5,8.72,1
맷 리브스,,7,7,1
맷 브라운,8.71,6.45,8.41,1
맷 코드,,5.44,,1
맷 화이트크로스,9.38,7.16,9.31,1
메노 메이제스,,8.15,,1
메리 해론,,8.3,,1
메튜 리브스,8.43,6.53,8.53,1
멜 깁슨,9.18,7.845,8.845,4
멜 스미스,,9.12,,1
명석환,,7.115,,2
모건 네빌,8.93,6.75,8.98,1
모건 매튜스,8.74,6,8.26,1
모리 준이치,8.59,6.5,8.665,2
모리카와 케이,,7.1,,1
모리타 히로유키,,8.6,,1
모튼 틸덤,8.375,6.25,8.34,2
모홍진,7.73,5.06,7.65,1
묘술,,2.79,,1
무라타 마사히코,,7.075,8.79,2
무라타 카즈야,,7,7.52,1
무쿤다 마이클 드윌,,4,5.1,1
무토 유지,,9.17,,1
문승욱,,4,6.66,1
문위홍,,6.5,,1
