"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
2750,"dawn****",26,27,27
2757,"leem****",14,9,13
2766,"pola****",25,31,4
2772,"brav****",8,27,26
2774,"gang****",16,27,21
2785,"girl****",10,28,36
2794,"hear****",40,2,18
2796,"pian****",7,35,11
2797,"smal****",34,2,30
2811,"medi****",29,26,18
2813,"ment****",36,8,33
2834,"alsk****",28,21,35
2847,"fren****",29,3,26
2848,"judy****",8,4,29
2850,"jand****",34,5,28
2851,"cath****",38,13,40
2854,"flow****",32,8,17
2857,"dudw****",31,33,2
2868,"yoob****",26,29,8
2883,"wolf****",15,23,14
2892,"shan****",40,20,20
2904,"sunj****",27,3,16
2909,"voic****",40,38,39
2914,"hope****",24,36,21
2920,"birt****",12,22,3
2921,"theb****",35,27,12
2924,"sooj****",34,39,40
2927,"soni****",40,20,31
2928,"comm****",35,33,28
2941,"govl****",32,36,35
2963,"kkan****",9,12,21
2967,"assa****",30,26,15
2968,"kind****",20,30,32
2969,"jjaj****",16,33,18
2970,"chao****",8,23,33
2976,"gksm****",26,37,18
2987,"soso****",26,17,27
2989,"poiu****",5,8,12
2993,"taes****",37,7,39
3002,"dlar****",30,14,4
3004,"skyl****",3,2,35
3006,"mist****",16,21,11
3011,"bong****",26,19,35
3018,"stra****",33,8,15
3030,"suji****",3,9,10
3039,"didr****",6,5,5
3041,"spac****",38,16,25
3044,"minn****",10,19,18
3051,"jasm****",9,37,25
3058,"arie****",13,3,12
3066,"kyo1****",27,32,27
3070,"vivi****",27,8,5
3074,"woal****",40,30,25
3100,"chom****",19,10,26
3110,"ssim****",36,24,36
3115,"youk****",32,28,18
3125,"dand****",5,18,14
3131,"xogn****",18,24,22
3132,"sona****",27,13,10
3134,"iove****",38,8,17
3137,"uniq****",36,9,32
3159,"binn****",23,16,8
3161,"jull****",15,18,10
3165,"nigh****",15,8,39
3171,"ralp****",38,14,40
3175,"stan****",39,4,29
3195,"leee****",29,33,28
3197,"thed****",19,20,1
