"","user_pk","id","12세 관람가_mean","12세 관람가_std","12세 관람가_count","15세 관람가_mean","15세 관람가_std","15세 관람가_count","G_mean","G_std","G_count","NR_mean","NR_std","NR_count","PG_mean","PG_std","PG_count","PG-13_mean","PG-13_std","PG-13_count","R_mean","R_std","R_count","전체 관람가_mean","전체 관람가_std","전체 관람가_count","청소년 관람불가_mean","청소년 관람불가_std","청소년 관람불가_count"
"1443",14610,"kimn****",6.5,3.75277674973257,12,8.68181818181818,1.9860047522685,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.26491106406735,5,9.33333333333333,0.942809041582054,3
"1444",14641,"llll****",8.28571428571429,2.81395937194174,14,7.21052631578947,3.42712012549468,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,3.6,5,8.5,3,8
"1445",14693,"skyw****",7.8,2.85657137141714,10,6.36363636363636,3.54894932653512,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0.5,2,6.45454545454545,4.16399363294501,11
"1446",14695,"jewe****",8.63636363636364,1.14991914915213,11,8.57142857142857,1.29362644830535,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,7,7.8,0.979795897113272,5
"1447",14715,"dan_****",8.11111111111111,2.68512132746546,9,8.75,0.82915619758885,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,4,8.25,1.4790199457749,4
"1448",14730,"tkdz****",8.875,2.08791163606126,8,8,2.62466929133727,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,10,0,3
"1449",14741,"dora****",7.41935483870968,3.07722323037724,31,7.10526315789474,3.00691723307067,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82352941176471,3.24010337739304,17,7.75,2.80252862013337,12
"1450",14761,"drun****",9.09090909090909,1.56405913946229,11,8,2.21880078490092,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66666666666667,0.471404520791053,3,8.25,1.92028643696715,4
"1451",14820,"o___****",8.2,3.6,10,7.78571428571429,3.12086461070764,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,8.14285714285714,3.22616851161035,7
"1452",14831,"zlzl****",7.93333333333333,3.27549826574353,15,8.23076923076923,2.54660697803798,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,3.77491721763537,4,7.28571428571429,3.73073281634303,7
"1453",14842,"mary****",8.07142857142857,2.6039608762226,14,7.28571428571429,2.91372543633873,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.5,4,6.33333333333333,2.77888866675551,12
"1454",14882,"rkdd****",7.92,2.9654004788561,25,5.76,4.15961536683381,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,8,8,1.63299316185545,3
"1455",14991,"skyg****",8.92857142857143,2.37439573408495,14,7.92857142857143,3.49416423103857,14,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,7,3.53553390593274,4,6.33333333333333,3.85861230093008,3
"1456",15076,"moos****",6.81818181818182,2.91760118834204,11,8.2,2.67581763205193,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2.98607881119482,6,7,3.2659863237109,9
